Area de Dominio,Nivel I Dominio Insuficiente,Nivel II Dominio Básico,Nivel III Dominio Satisfactorio,Nivel IV Dominio Sobresaliente
LyC,30.56,50.00,11.11,8.33
Mat,72.97,21.62,5.41,0.00
